Trainer,Going,Wins,Starts,Places,WinRate
伍鵬志,第二班 - 1400米 - (100-80),0,4,0,0.0
伍鵬志,第二班 - 1400米 - (105-80),0,6,1,0.0
伍鵬志,第二班 - 1600米 - (100-75),1,1,1,100.0
伍鵬志,第二班 - 1600米 - (105-75),1,2,1,50.0
伍鵬志,第二班 - 1600米 - (105-80),0,1,0,0.0
伍鵬志,第二班 - 1650米 - (100-75),0,1,0,0.0
伍鵬志,第二班 - 1650米 - (100-80),0,1,0,0.0
伍鵬志,第二班 - 1800米 - (100-70),0,1,1,0.0
伍鵬志,第二班 - 1800米 - (100-75),0,1,1,0.0
伍鵬志,第二班 - 1800米 - (100-80),0,1,0,0.0
伍鵬志,第二班 - 2000米 - (100-75),0,1,0,0.0
伍鵬志,第二班 - 2000米 - (95-70),0,2,0,0.0
伍鵬志,第五班 - 1000米 - (40-0),0,5,2,0.0
伍鵬志,第五班 - 1200米 - (40-0),0,9,0,0.0
伍鵬志,第五班 - 1400米 - (40-0),0,14,3,0.0
伍鵬志,第五班 - 1600米 - (40-0),0,4,2,0.0
伍鵬志,第五班 - 1650米 - (40-0),1,9,1,11.1
伍鵬志,第五班 - 1800米 - (40-0),2,15,5,13.3
伍鵬志,第五班 - 2000米 - (40-0),0,1,0,0.0
伍鵬志,第五班 - 2200米 - (40-0),0,4,2,0.0
伍鵬志,第四班 - 1000米 - (60-40),0,17,3,0.0
伍鵬志,第四班 - 1200米 - (60-40),4,76,13,5.3
伍鵬志,第四班 - 1400米 - (60-40),3,38,12,7.9
伍鵬志,第四班 - 1600米 - (60-40),0,11,0,0.0
伍鵬志,第四班 - 1650米 - (60-40),2,38,7,5.3
伍鵬志,第四班 - 1800米 - (60-35),1,1,1,100.0
伍鵬志,第四班 - 1800米 - (60-40),2,19,5,10.5
伍鵬志,第四班 - 2000米 - (60-40),0,3,1,0.0
伍鵬志,第四班 - 2200米 - (60-40),0,4,1,0.0
伍鵬志,第四班（條件限制） - 1200米 - (60-40),0,2,1,0.0
伯特,一級賽 - 2000米,0,1,0,0.0
侯耀誠,一級賽 - 1200米,0,1,0,0.0
包義定,一級賽 - 2400米,0,1,0,0.0
呂健威,一級賽 - 1200米,0,1,0,0.0
呂健威,一級賽 - 1400米,0,3,0,0.0
呂健威,一級賽 - 1600米,0,5,1,0.0
呂健威,一級賽 - 2000米,0,2,1,0.0
呂健威,三級賽 - 1000米,0,1,0,0.0
呂健威,三級賽 - 1400米,0,6,2,0.0
呂健威,三級賽 - 1800米,1,7,2,14.3
呂健威,三級賽 - 2400米,0,1,1,0.0
呂健威,二級賽 - 1200米,0,4,1,0.0
呂健威,二級賽 - 1600米,0,8,1,0.0
呂健威,新馬賽 - 1000米,0,1,0,0.0
呂健威,第一班 - 1200米 - (80+),0,2,1,0.0
呂健威,第一班 - 1200米 - (85+),0,2,1,0.0
呂健威,第一班 - 1400米 - (110-85),1,1,1,100.0
呂健威,第三班 - 1000米 - (80-60),1,7,1,14.3
呂健威,第三班 - 1000米 - (85-60),1,3,1,33.3
呂健威,第三班 - 1200米 - (80-55),0,1,0,0.0
呂健威,第三班 - 1200米 - (80-60),9,40,16,22.5
呂健威,第三班 - 1200米 - (85-60),0,2,0,0.0
呂健威,第三班 - 1400米 - (80-60),1,22,7,4.5
呂健威,第三班 - 1400米 - (85-60),0,1,1,0.0
呂健威,第三班 - 1600米 - (80-60),2,9,3,22.2
呂健威,第三班 - 1600米 - (85-60),0,2,0,0.0
呂健威,第三班 - 1650米 - (80-55),0,2,1,0.0
呂健威,第三班 - 1650米 - (80-60),2,16,7,12.5
呂健威,第三班 - 1650米 - (85-60),0,1,0,0.0
呂健威,第三班 - 1800米 - (80-60),0,3,0,0.0
呂健威,第三班 - 1800米 - (85-60),0,1,0,0.0
呂健威,第三班 - 2000米 - (80-60),1,1,1,100.0
